Name,Hash,Insensity_sum,Width_PIX,Height_PIX,Size_BYTES
arrow_tree.png,00000000000002000000170017106308f330bc800f0013100c40030000000000,355679,32,64,2912
deals_bg.png,0000c0000040e920c010d090c08880888088c088d090c010e9200040c0000000,5315623,128,64,19601
user_logo.png,01002f002c085b245a245d445a0458442d482d48ee880e83fd40e0301806c000,3616528,64,64,2780
circle_64.png,df04b8026611d804f000a002a00080008000a000a002f000d8046611b802df04,3355085,64,64,942
small_deal_smoke@2x.png,c50ec40ec8ccc9ccc9c4c9c0c9e0d9e0d9e0f9e0f1f0f3f0f9f0fd60fc403c00,2272338,128,64,15436
arrow_check.png,0004000a0014002c205c50b8297164e261c4f388bb105c602c8010800a000400,637309,64,64,941
traderoom_circle_gap.png,4f04b8e26039c60c9036801e200b200b200b200b801e9036c40c6039b8e24f04,901608,56,56,4992
timer.png,17002cc86d400e049e0280e1e078c06c8f469cc69e868f0ec01ce0f870e1bf02,1859927,40,53,3293
instrument_control_rotate.png,9e07b8e3603bc60d9974917120002020200b200b90169826c60c6039b8e29e04,1053934,50,50,2446
circle_stroke.png,9f0430f1411dc864a01a200b000b00030003000b200ba01ac864411d30f19f04,370005,42,42,3934
flag.png,3c03f30fc39ca59c8e4d8c33cc33c8db68c6616678f4b038b201583859001900,1241530,38,41,1964
ic_chart_gradient.png,0c1b11272cdc5c3aba347508e830d000a0004000800000000000000000008002,1170908,38,40,514
ic_linechart.png,0c1b11272cdc5c39b8337303e1c7c4d7892710d7001710170007111700009006,688092,38,40,719
ic_alert.png,131027085f04b0006609e800e808e800e800e800e800f0048000a96a06809710,872679,31,40,4053
settings.png,8f042699e698d004ecc860f8d2b412b412b4d2b460f8ecc8d0046699a69a4f04,1369352,39,39,2161
cancel.png,c824c45c82b8d17468e9b4c25e042e882e885e04b4c268e9d17482b8c45cc824,1117236,36,36,2023
ic_anal.png,0520091017082e642c642c620652b310b1d168e96870f1b8c45c882e1016200b,383691,30,34,769
pm_icon_downward.png,0d4000a02c802c045ae45a22ba02bab2b992ba42b248b248b268b26010000a60,1704213,64,32,18747
pm_icon_upward.png,014002a0299043803e487da47a207b115a425994599059405950289005000080,1689127,64,32,18821
arrow_triangle.png,04400b201b0016902d485d04fa20b4126c09f804d004a00240028000d0080001,576673,32,32,489
trash_body.png,ec88ea28e498e4d8e4d8e4d8e4d8e4d8e4d8e4d864986001be82580420081000,635436,32,32,1044
deals_arrow_call.png,10102e8858e4b3326cc9cb2cd334d694dc04dd44c02c6c49b33258e42e881010,739776,32,32,808
deals_arrow_put_closed.png,10100f001cc0b0726619cc4ccc4ccd4cd694c71ccb2c64d9b0f21cc00f001010,590826,32,32,887
info_icon.png,9f047801e670da74d160a242a06880e880d0a4d0a4d2d9b0c9e4e1d078019f04,823632,32,32,1325
ic_jacandle.png,641a601860196499689964d960d902c962d960d9601960596059600864146408,498618,42,32,320
arrow_direction.png,13202f089c843a22e810d234c698c69c16819692169416901690169016901690,384085,24,32,493
pm_icon_close.png,00004824645862b8317058e42cc8171017102cc858e4b1726018482c40000000,799772,32,32,3154
deals_arrow_call_closed.png,082003080f04b872f2d9652ceb14c684ce4ccd4c6e4c629930705ce00f001010,255084,32,32,2234
deals_icon_ios.png,0040010000400d8011902f085c845b045a485a045aa47c042ec812d008200400,837946,32,32,345
deals_icon_android.png,04400000144816082e080d40b742b412b652b652b742068036d016c0000006c0,846214,32,32,14789
circle_gradient.png,0e003f007f00ff00ff00ff00ff00fe00fe00ff00ff00ff00ff007f003f000e00,707482,32,32,3763
ic_candles.png,5cc058c458e2d8c658c698c698c698e698c698c6984298849882988098809c80,517728,42,32,394
circle_32.png,4f04bc027221e808d004a002a002a002a002a002a002d004e8087221bc024f04,806896,32,32,4295
deals_arrow_put.png,10102f0858e2b2306c49c814dd44de04d694d314cb246cc9b33058e22f081010,761585,32,32,845
deals_icon_desktop.png,000018002008b822b412a45aa01aa45aa01ab4d2bb2207003690000006000000,265090,32,32,977
locker.png,2f085cc4b0f272b06459e0386019e418d004d014d004d004d004d004d004d004,525392,24,24,2024
ic_loader.png,1320b362336080ac920c902c0012200e201e0016802c902c822c300cb3013304,382346,22,22,2121
scissors.png,e210902c191c193890f0c1c1cd840e080e08cd84c1c190f01938191c902ce210,229557,22,20,449
circle_16.png,2f08ba227411e808d004d004d004c000c000d004d004d004e8087411ba222f08,207148,16,16,1207
icon_itm.png,00000000b48cb48c998c998c998c998a998a99aa99a699b699b699b600000000,168502,28,16,3587
trash_cap.png,000000000000000000000200044033105714b6927691e808d604d004d004d004,221351,32,16,822
traders_mood_indicator.png,0000300000000000741070016001680968096001700174100000000030000000,112894,32,11,3242
line_joint_texture.png,07007f007f00ff00ff00ff00ff00ff00ff00ff00ff00ff00ff007f007f000700,67855,10,10,241
line_texture.png,0000000000000000000000000000000000000000000000000000000000000000,9434,1,10,111
circle_8.png,1f01ff00ff00e000e000f600f210e210e210f210f600e000e000ff00ff001f01,57888,8,8,431
white_rect.png,0000000000000000000000000000000000000000000000000000000000000000,4080,2,2,466
